Time(ms),AccelX,AccelY,AccelZ,MagX,MagY,MagZ,GyroX,GyroY,GyroZ
20255,0.60,1.43,9.82,-2.06,16.87,-13.88,0.00,0.07,-0.10
20354,0.54,0.91,9.99,-1.37,16.25,-13.75,-0.03,0.05,-0.25
20454,0.53,1.30,10.25,-2.50,17.25,-14.19,-0.16,-0.10,-0.35
20554,0.48,0.88,10.27,-2.50,19.50,-15.00,-0.32,-0.17,-0.61
20654,-0.53,0.60,10.78,-5.75,21.37,-12.69,0.01,-0.05,-0.53
20754,0.12,0.11,9.88,-6.37,24.69,-12.50,-0.23,-0.08,-0.68
20854,0.16,-0.14,9.82,0.00,26.75,-13.00,-0.04,0.06,-0.41
20954,0.55,0.10,9.29,4.19,27.50,-14.00,-0.10,-0.05,-0.31
21054,0.56,0.21,9.97,8.69,24.50,-13.56,-0.06,-0.04,-0.11
21154,0.62,0.31,9.37,11.50,19.06,-13.56,-0.08,-0.12,0.10
21254,0.39,0.49,11.12,12.00,14.50,-14.69,0.07,-0.06,0.44
21355,0.35,1.26,10.73,10.88,8.50,-13.69,-0.05,0.01,0.53
21455,-0.10,1.35,10.25,7.87,6.00,-13.88,-0.12,0.20,0.55
21555,0.40,1.13,9.13,5.50,5.69,-14.25,-0.21,-0.29,0.64
21655,0.66,1.43,9.67,0.19,7.69,-15.50,-0.18,-0.35,0.74
21755,-0.50,0.83,10.91,-2.25,11.38,-14.00,0.05,0.11,0.95
21855,-0.21,0.22,9.38,-2.75,14.25,-15.19,0.18,0.05,1.09
21955,-0.22,1.37,9.16,-0.06,15.50,-16.25,0.26,0.22,1.31
22055,0.27,0.97,9.38,3.87,15.56,-16.69,0.17,0.02,1.49
22155,0.44,1.68,9.73,4.37,15.50,-16.87,0.03,-0.04,1.96
22255,0.40,1.83,10.35,8.06,15.56,-17.06,0.21,0.10,2.08
22355,-0.35,1.71,10.75,11.25,13.88,-17.00,-0.01,0.20,1.84
22455,0.52,1.55,8.97,13.88,13.56,-17.37,-0.11,-0.03,1.52
22555,0.31,1.09,9.31,16.50,12.50,-16.37,-0.06,-0.08,1.14
22655,0.83,0.78,10.12,16.19,11.75,-15.25,-0.09,-0.08,0.66
22755,-0.75,0.72,10.89,16.25,11.00,-15.25,0.04,0.06,0.55
22855,-0.11,0.81,8.98,16.56,10.19,-16.06,0.12,0.12,0.64
22955,0.42,0.53,9.07,16.50,9.75,-15.25,0.01,-0.17,0.55
23055,-0.33,0.91,10.51,14.25,8.88,-15.00,0.02,0.11,0.62
23155,0.23,0.42,10.75,14.50,8.06,-15.00,-0.04,-0.06,0.72
23255,-0.09,1.67,9.64,14.19,6.87,-14.19,0.19,0.16,0.46
23355,-0.89,0.76,10.18,14.87,6.37,-12.25,-0.12,0.06,0.25
23456,0.31,0.89,7.72,14.75,6.06,-12.69,-0.18,-0.32,-0.06
23556,0.56,0.84,7.42,13.38,8.19,-11.88,-0.13,-0.21,-0.22
23656,0.90,0.28,7.31,11.19,8.06,-11.88,0.01,0.12,-0.15
23756,1.10,0.48,8.53,9.25,9.19,-10.00,-0.00,0.02,-0.30
23856,-0.53,0.07,11.68,9.25,9.88,-10.50,-0.23,-0.49,-0.33
23956,-0.85,0.10,10.33,5.25,11.69,-8.88,-0.20,-0.73,-0.49
24056,-0.88,0.34,10.75,1.19,13.56,-6.87,0.00,-0.27,-0.47
24156,0.04,0.61,12.15,-0.88,14.75,-5.50,0.18,0.02,-0.18
24256,0.96,0.27,13.99,-2.37,14.87,-5.06,0.10,0.39,-0.07
24356,1.38,-0.33,13.66,-1.25,14.19,-5.69,-0.15,0.28,-0.32
24456,1.52,0.50,13.12,-0.88,14.56,-4.06,0.24,0.13,-0.36
24556,1.26,0.08,11.66,-1.25,12.37,-6.06,0.40,0.33,-0.58
24656,0.29,-0.20,8.70,1.19,9.06,-6.06,0.24,-0.02,-0.99
24756,0.23,-0.82,6.52,0.75,6.37,-7.06,-0.28,-0.46,-1.18
24856,0.40,-0.18,4.99,-1.19,6.37,-8.50,-0.64,-0.53,-1.28
24956,0.99,-0.54,6.44,-2.06,6.75,-6.56,-0.65,-0.09,-1.26
25056,1.26,-1.12,8.27,-1.87,7.06,-5.25,-0.28,0.22,-1.16
25156,1.10,0.31,8.62,-3.00,5.50,-4.75,0.30,0.18,-0.82
25256,0.47,1.40,9.64,-1.69,3.87,-4.69,0.19,-0.08,-0.84
25356,-0.16,0.96,8.66,-1.56,1.69,-3.87,-0.43,-0.51,-0.84
25456,-1.18,0.75,9.60,-2.50,0.88,-3.75,-0.27,-0.29,-0.79
25556,-0.74,0.33,10.21,-2.56,0.19,-2.56,-0.37,-0.08,-0.85
25656,0.94,-0.19,9.33,-3.50,-1.00,-0.19,-0.33,0.27,-0.74
25756,0.78,-0.56,10.59,-1.00,-1.69,-0.50,-0.08,0.63,-0.54
25857,0.80,-0.24,15.05,1.00,-2.75,-0.37,0.41,0.66,-0.31
25957,1.54,-0.26,14.84,2.75,-4.75,-0.88,0.35,0.44,-0.20
26057,0.80,-0.36,15.32,1.75,-5.56,-1.50,0.03,0.06,-0.34
26157,1.12,-0.35,11.60,4.56,-5.25,-1.69,-0.13,0.00,-0.40
26257,0.77,0.58,8.92,5.75,-2.75,-3.06,0.14,0.24,-0.26
26357,0.21,0.76,8.36,5.00,-3.25,-5.50,0.06,-0.05,-0.33
26457,0.28,0.63,7.14,6.00,-1.87,-7.37,-0.19,-0.68,-0.15
26557,-0.75,0.14,6.47,4.00,-0.37,-7.87,0.07,-0.16,-0.10
26657,0.14,0.77,6.38,2.75,1.06,-8.69,0.10,0.12,-0.25
26757,1.07,0.30,5.62,3.69,-0.06,-9.06,-0.21,-0.01,-0.45
26857,2.21,0.06,5.87,4.69,1.06,-9.88,-0.33,-0.22,-0.42
26957,0.85,-0.40,10.57,5.87,1.75,-10.25,-0.59,-0.09,-0.37
27057,-0.33,-0.56,10.50,4.75,3.06,-13.00,-0.20,-0.09,-0.20
27157,-1.71,0.62,13.88,7.37,3.37,-14.19,0.28,-0.10,-0.09
27257,-0.11,-0.55,13.25,8.50,2.56,-16.87,0.05,0.05,-0.18
27357,1.55,0.44,15.76,10.00,2.19,-18.37,0.18,0.07,0.11
27457,2.33,-0.11,13.76,8.19,1.75,-18.37,-0.18,0.15,0.25
27557,1.86,-0.16,12.57,8.19,2.50,-17.87,0.15,0.17,0.41
27657,0.99,0.62,9.68,8.50,2.75,-16.69,0.43,0.36,0.46
27757,0.38,-0.07,8.05,7.00,1.75,-16.25,0.15,0.20,0.34
27858,1.04,0.41,5.64,6.00,1.37,-16.56,-0.08,-0.31,0.47
27958,1.29,0.29,5.10,3.75,2.69,-16.50,-0.18,-0.37,0.58
28058,1.28,0.08,4.51,3.25,3.37,-16.06,-0.08,0.07,0.60
28158,0.61,0.10,3.67,2.87,5.06,-18.19,0.24,0.37,0.62
28258,-0.49,1.30,9.09,4.56,4.37,-19.75,-0.01,0.13,0.47
28358,-2.67,0.10,13.69,2.00,3.69,-22.00,0.05,0.17,0.59
28458,-1.33,-0.08,14.29,4.19,4.56,-24.75,-0.12,-0.40,0.11
28558,-1.40,0.41,12.69,2.56,7.50,-26.00,-0.28,-0.11,-0.08
28657,-0.83,-0.33,10.58,0.06,8.50,-26.69,-0.17,0.27,-0.23
28757,-0.76,-0.56,11.91,0.69,9.56,-26.50,0.13,0.13,0.14
28857,0.00,-0.38,12.89,0.69,10.19,-26.75,0.08,0.13,0.01
28957,1.25,-1.27,14.39,2.50,9.06,-27.25,-0.02,0.14,-0.04
29057,1.18,0.10,12.09,3.25,9.50,-25.37,0.11,0.09,0.12
29157,-0.18,1.11,9.32,4.25,8.38,-23.75,0.25,0.23,0.37
29257,0.29,0.72,6.84,1.75,9.06,-22.19,0.27,-0.20,0.31
29357,0.40,0.81,6.42,1.75,6.75,-21.37,0.06,-0.68,0.42
29457,0.93,0.27,6.04,0.00,5.69,-21.00,-0.00,-0.42,0.36
29556,0.76,0.03,5.64,-3.00,7.75,-21.19,-0.08,-0.01,0.25
29656,1.18,-0.40,6.28,-4.37,8.06,-21.50,-0.14,-0.30,-0.06
29756,2.36,-0.18,7.15,-6.56,9.38,-23.56,-0.34,-0.32,-0.07
29856,-0.10,-1.11,11.81,-9.19,11.56,-24.87,-0.22,-0.18,-0.17
29956,-0.38,-0.78,12.22,-10.69,13.69,-24.75,0.12,-0.10,-0.43
30056,-0.45,-0.06,12.55,-13.50,14.06,-26.87,0.09,0.08,-0.20
30156,0.29,-0.47,12.61,-12.00,13.00,-28.00,-0.02,0.21,-0.04
30256,0.75,0.21,13.13,-11.88,13.69,-26.75,-0.07,0.16,0.17
30356,1.77,-0.37,11.65,-9.69,14.06,-28.69,-0.30,0.24,-0.09
30456,2.73,-0.46,12.94,-9.69,16.25,-27.56,0.03,0.05,0.16
30555,2.27,-0.01,12.17,-11.19,15.19,-27.06,0.03,0.18,0.43
30655,0.87,1.41,11.08,-7.50,15.19,-27.56,0.27,0.33,1.14
30755,-0.21,0.53,8.63,-4.19,14.50,-26.87,0.26,-0.20,1.42
30855,-0.54,0.66,7.53,-5.25,13.00,-28.06,0.21,-0.51,1.46
30955,-0.05,-0.07,5.96,-4.87,13.00,-28.50,0.01,-0.63,1.40
31055,0.48,0.02,6.76,-5.87,13.50,-28.56,0.06,-0.25,1.56
31155,0.00,0.70,8.74,-4.37,13.69,-27.56,0.39,0.01,1.82
31254,1.57,1.00,11.64,-2.06,12.50,-30.06,0.53,-0.26,2.19
31354,0.53,1.40,9.84,1.69,10.56,-30.56,0.05,0.21,2.19
31454,0.59,2.32,9.41,5.00,9.69,-31.00,0.22,-0.19,2.74
31554,0.19,2.82,9.20,7.25,6.06,-31.25,0.40,-0.03,2.69
31654,-0.35,1.63,9.81,8.75,3.56,-31.25,0.59,0.07,2.54
31754,-0.32,0.33,9.32,10.06,-1.37,-30.19,0.48,0.16,2.10
31854,-0.58,-0.02,10.59,9.50,-6.00,-29.75,0.19,0.44,1.65
31954,0.19,-0.94,10.16,9.69,-8.19,-29.87,0.09,0.20,1.26
32054,0.38,-0.69,10.00,10.38,-9.56,-28.00,0.06,0.27,0.95
32154,0.53,-0.47,9.72,10.75,-9.50,-28.50,-0.03,0.43,0.63
32254,0.94,0.10,8.85,11.50,-10.56,-27.69,-0.02,0.19,0.45
32354,2.00,0.33,7.90,9.69,-10.19,-26.06,0.04,-0.16,0.43
32454,1.04,1.76,12.09,9.00,-10.56,-26.50,0.29,0.13,0.45
32554,1.43,-0.34,10.67,8.19,-11.25,-25.00,0.04,-0.46,0.09
32654,0.18,0.10,11.24,4.19,-9.88,-23.69,-0.29,-0.60,-0.55
32754,1.54,-0.57,10.08,-1.25,-7.50,-23.00,-0.49,-0.71,-0.80
32854,1.14,-0.28,6.85,-5.25,-4.50,-20.37,-0.09,0.01,-0.03
32954,0.91,1.13,5.22,-5.37,-2.37,-20.56,0.17,0.19,0.27
33055,0.90,0.40,7.09,-7.56,-2.25,-18.25,-0.46,-0.44,0.13
33155,-1.93,0.32,9.40,-11.25,0.19,-16.87,-0.17,0.04,0.33
33255,0.55,-9.04,9.83,-13.06,2.75,-14.19,-0.22,-0.08,0.49
33355,-1.31,-0.20,12.31,-18.00,4.69,-11.06,-0.24,-0.15,-0.17
33455,0.41,0.16,8.65,-16.50,6.06,-7.56,-0.00,-0.08,-0.04
33555,-0.27,-0.38,11.14,-17.69,8.69,-6.75,0.14,-0.18,-0.23
33655,1.10,-0.63,12.98,-18.06,9.06,-4.56,0.12,0.35,-0.01
33755,2.76,-1.06,13.76,-17.25,8.69,-5.06,0.23,0.41,0.38
33855,3.04,-0.34,13.54,-15.69,9.06,-5.87,0.09,0.19,0.13
33955,2.19,-0.88,12.70,-13.56,8.38,-6.25,0.32,0.34,-0.19
34055,0.13,0.44,11.83,-9.88,5.75,-7.56,0.14,-0.05,0.05
34155,0.97,0.29,8.20,-7.50,4.25,-8.50,-0.13,-0.35,0.13
34255,0.60,0.99,6.62,-6.25,3.56,-9.38,0.34,0.17,0.25
34355,0.58,0.79,5.67,-4.87,2.06,-9.75,0.09,0.18,0.05
34455,0.93,0.46,4.91,-3.37,1.50,-9.88,-0.09,0.01,0.23
34555,1.34,0.16,5.87,-2.25,2.56,-9.69,-0.10,-0.13,0.18
34655,1.95,0.20,6.75,-2.25,3.25,-7.37,-0.16,-0.39,0.36
34755,-0.08,-0.76,12.67,-4.19,4.75,-6.56,-0.15,0.21,-0.19
34855,-1.39,-0.11,10.66,-3.87,6.00,-6.69,-0.23,0.26,-0.15
34955,-2.93,0.57,11.21,-2.06,7.37,-4.75,-0.08,0.28,-0.43
35055,-1.02,-0.81,11.58,-1.25,9.25,-4.06,0.04,0.13,0.00
35156,-0.99,-0.08,12.30,0.56,8.19,-3.00,0.24,0.19,0.07
35256,-0.60,0.87,11.95,1.25,7.00,-2.25,0.27,0.08,0.22
35356,0.60,-0.02,13.10,1.00,7.69,-3.19,-0.07,-0.13,0.09
35456,1.40,0.24,12.76,0.56,6.19,-3.19,0.06,0.41,0.30
35556,-0.95,0.40,11.85,1.00,5.87,-3.56,-0.05,0.50,0.29
35656,-1.91,-0.05,10.37,3.50,4.06,-5.56,0.16,-0.04,0.15
35756,-1.98,-0.08,8.72,5.56,2.25,-6.50,0.00,-0.58,-0.07
35856,0.16,-0.10,6.86,3.06,0.88,-9.25,-0.22,-1.01,-0.02
35956,0.85,-0.01,6.55,2.37,1.87,-9.25,-0.17,-0.21,0.04
36056,0.85,-0.19,6.93,1.00,2.25,-10.50,-0.02,0.27,0.10
36156,-0.62,0.65,11.36,1.06,1.19,-10.88,0.08,0.23,0.40
36256,-0.04,0.91,9.69,2.50,1.56,-10.06,0.18,-0.14,0.23
36356,0.04,0.63,9.35,2.87,0.88,-12.00,0.17,-0.08,0.01
36456,0.29,0.57,9.65,3.25,0.88,-10.75,0.17,0.04,0.23
36556,0.36,0.90,9.06,2.87,0.06,-11.56,0.18,-0.04,0.17
36656,-0.39,0.95,10.84,4.00,-0.50,-10.88,0.10,0.19,0.23
36756,0.28,0.69,9.49,4.37,-1.56,-10.50,-0.16,-0.01,0.16
36856,0.05,0.75,9.96,4.37,-0.88,-11.19,0.06,0.08,0.13
36956,-0.07,0.59,10.21,3.56,-0.88,-10.88,-0.02,0.06,0.07
37056,-0.19,0.54,10.11,5.37,-1.56,-10.50,-0.06,0.09,0.04
37156,-0.10,0.52,10.05,5.06,-2.00,-12.06,-0.03,0.02,0.03
37257,-0.13,0.59,10.09,4.75,-0.88,-11.25,-0.03,-0.03,0.02
37356,0.03,0.61,10.01,3.25,-0.88,-11.19,-0.01,-0.02,0.03
37457,0.05,0.47,10.03,4.75,-1.25,-11.19,-0.01,-0.03,-0.02
37557,0.13,0.56,9.90,5.06,-0.88,-11.19,-0.02,-0.04,-0.01
37657,0.18,0.44,10.03,5.75,-0.50,-10.50,-0.03,-0.02,-0.01
37757,0.13,0.49,10.02,3.25,-0.88,-10.56,-0.04,0.00,-0.00
37857,0.16,0.48,9.94,3.56,-0.06,-11.00,-0.00,-0.03,0.01
37957,0.21,0.50,10.07,5.06,-0.06,-10.88,0.02,-0.02,-0.01
38057,0.18,0.37,9.96,3.25,-0.50,-11.56,-0.01,-0.02,0.02
38157,0.11,0.52,10.01,4.00,-1.56,-11.00,0.00,0.02,0.01
38257,0.27,0.45,9.92,4.75,-0.88,-12.88,-0.01,0.01,0.02
38357,0.19,0.46,10.08,4.75,-0.88,-11.19,-0.00,-0.01,0.02
38457,0.12,0.38,10.05,4.00,-0.88,-11.19,-0.02,-0.02,0.01
38557,0.23,0.43,9.73,4.37,-0.88,-10.88,-0.02,-0.02,0.00
38657,0.20,0.45,9.95,3.56,-0.50,-12.37,0.02,0.07,-0.01
38757,0.09,0.45,9.93,4.37,-0.88,-11.56,-0.10,0.15,-0.00
38857,-0.16,0.25,9.62,3.25,-0.88,-10.88,-0.02,0.02,0.02
38957,0.11,0.34,10.19,5.37,-0.50,-10.50,0.03,-0.02,-0.02
39057,0.04,0.26,9.53,4.75,-0.06,-10.56,0.07,-0.07,0.02
39157,0.08,0.56,9.75,4.00,-0.50,-10.56,0.03,-0.05,0.00
